Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://underwings.org/services/grc/iso-27001-implementation,ISO 27001:2022 Implementation UAE — End-to-End with Lead Auditor | Underwings,96,0.049137907163794556,n/a,1,200,0.306,0,1,1,1,0,Self-canonical,0,15,21,3,0,3,1,17,127,10,"iso 27001:2022 isms implementation and certification-body audit support in uae. led by an iso 27001 lead auditor. policies, risk register, statement of applicability, internal audit, audit-readiness. 4 – 6 months. aed 50,000 – 120,000.",
https://underwings.org/services/grc/nesa-uae-ia,NESA / UAE IA V2 Gap Assessment — National Standards Compliance | Underwings,52,0.012757282094545123,n/a,2,200,0.223,0,1,1,1,0,Self-canonical,0,5,24,3,0,3,1,17,127,10,"uae ia v2 / nesa gap assessment for government-adjacent entities, critical infrastructure, and suppliers. controls review, maturity rating, prioritised roadmap. aed 20,000 – 50,000.",
https://underwings.org/services/grc/risk-assessment-register,Cybersecurity Risk Assessment & Register Build UAE — ISO 27005 Aligned | Underwings,56,0.012777248088429123,n/a,2,200,0.223,0,1,1,1,0,Self-canonical,0,5,24,3,0,3,1,17,127,10,"iso 27005-aligned cybersecurity risk assessment and risk register build in uae. asset-based risk identification, threat mapping, treatment decisions, audit-ready documentation. aed 20,000 – 45,000.",
https://underwings.org/services/grc/uae-pdpl-advisory,"UAE PDPL Compliance Advisory — Data Mapping, Privacy Notices, Consent | Underwings",36,0.012339558157189647,n/a,2,200,0.223,0,1,1,1,0,Self-canonical,0,3,24,3,0,3,1,17,127,10,"uae personal data protection law (pdpl) compliance advisory. data mapping, privacy notices, consent workflows, breach notification, dpia, cross-border transfers. led by grc mastery + iso 27001 la. aed 15,000 – 35,000.",
https://underwings.org/services/iso-27001,,-,0.02972271841109588,n/a,1,301,0.214,0,0,0,0,0,-,0,40,1,0,0,-,-,0,0,0,-,
https://underwings.org/services/network-infrastructure,"Network & Infrastructure Security in UAE — FortiGate Reviews, Architecture | Underwings",64,0.029076710544422894,n/a,1,200,0.222,0,1,1,1,0,Self-canonical,0,39,21,3,0,3,1,17,127,13,"uae network security services — fortigate firewall reviews, network segmentation, security architecture design. rare ccnp + fortinet + oscp combination. find and fix 30 – 200 stale or over-permissive firewall rules typical in uae mid-market.",
https://underwings.org/services/network-infrastructure/firewall-network-security-review,"Firewall & Network Security Review UAE — FortiGate, CCNP-led | Underwings",12,0.011494699087872788,n/a,2,200,0.224,0,1,1,1,0,Self-canonical,0,2,23,3,0,3,1,17,127,10,"uae firewall configuration and network security review. fortigate, palo alto, cisco. ccnp + fortinet + oscp combination — rare skill combo in the region. find the 30 – 200 stale rules most environments carry. aed 12,000 – 30,000.",
https://underwings.org/services/network-infrastructure/security-architecture-review,Security Architecture Review UAE — Target-State Design & Roadmap | Underwings,8,0.011284305739013418,n/a,2,200,0.223,0,1,1,1,0,Self-canonical,0,1,24,3,0,3,1,17,127,11,"uae enterprise security architecture review. network zones, identity, vpn / ztna, dmz, segmentation. current-state + target-state design + migration roadmap. ccnp + security+ + fortinet led. aed 15,000 – 35,000.",
https://underwings.org/services/offensive-security,"Offensive Security in UAE — Pen Testing, Phishing Sims, VA | Underwings",68,0.02912535815293662,n/a,1,200,0.436,0,1,1,1,0,Self-canonical,0,39,23,3,0,3,1,17,127,12,"uae offensive security services by oscp and cpts certified practitioners. network pen testing, web app pen testing, phishing simulation, vulnerability assessment. manual testing, not vuln-scan pdfs.",
https://underwings.org/services/offensive-security/network-penetration-testing,Network Penetration Testing in UAE — OSCP-Led External & Internal | Underwings,92,0.048303183405726716,n/a,1,200,0.443,0,1,1,1,0,Self-canonical,0,14,21,3,0,3,1,17,127,10,"oscp-led external and internal network penetration testing in the uae. active directory attacks, lateral movement, real exploitation, detailed reports, remediation walkthroughs. aed 20,000 – 60,000.",
https://underwings.org/services/offensive-security/phishing-simulation,Phishing Simulation UAE — Realistic Campaigns & Click-Rate Metrics | Underwings,28,0.011681111367210359,n/a,2,200,0.222,0,1,1,1,0,Self-canonical,0,3,22,3,0,3,1,17,127,11,"uae phishing simulation campaigns. realistic scenarios tailored to uae threats, click-rate reporting, before/after metrics. pairs with security awareness training. aed 8,000 – 20,000.",
https://underwings.org/services/offensive-security/vulnerability-assessment,Vulnerability Assessment UAE — Fast Scan & Report for SMEs | Underwings,20,0.011660008461162944,n/a,2,200,0.222,0,1,1,1,0,Self-canonical,0,3,22,3,0,3,1,17,127,10,"uae vulnerability assessment starting at aed 5,000. nessus / openvas / nuclei scanning, cvss-scored findings, manually validated criticals. sme entry-point service — upgrade to pen test anytime.",
https://underwings.org/services/offensive-security/web-application-penetration-testing,"Web Application Penetration Testing UAE — OWASP, API, Manual Testing | Underwings",24,0.011677075680011195,n/a,2,200,0.224,0,1,1,1,0,Self-canonical,0,3,24,3,0,3,1,17,127,10,"uae web application penetration testing by oscp/cpts-certified practitioners. owasp top 10, api security, authentication bypass, business-logic testing. manual, not vuln-scan pdfs. aed 15,000 – 40,000.",
https://underwings.org/services/training,,-,0.02972271841109588,n/a,1,301,0.218,0,0,0,0,0,-,0,40,1,0,0,-,-,0,0,0,-,
https://underwings.org/services/training-awareness,Security Awareness Training & Tabletop IR in UAE | Underwings,64,0.029076710544422894,n/a,1,200,0.222,0,1,1,1,0,Self-canonical,0,39,21,3,0,3,1,17,127,12,uae security awareness workshops and tabletop incident response exercises that measurably stick. live attack demos by oscp-certified practitioners. hr + compliance friendly. annual repeat buy.,
https://underwings.org/services/training-awareness/security-awareness-training,Security Awareness Training UAE — Live Workshops by Pen-Testers | Underwings,88,0.04392398399128014,n/a,1,200,0.222,0,1,1,1,0,Self-canonical,0,6,22,3,0,3,1,17,127,10,"uae security awareness training workshops led by oscp-certified offensive security practitioners. live phishing, wi-fi, and social engineering demos. classroom or virtual. pairs with phishing simulation. aed 8,000 – 25,000.",
https://underwings.org/services/training-awareness/tabletop-incident-response,Tabletop Incident Response Exercise UAE — 1-Day IR Drill | Underwings,8,0.011284305739013418,n/a,2,200,0.222,0,1,1,1,0,Self-canonical,0,1,22,3,0,3,1,17,127,11,"uae 1-day tabletop incident response exercise. simulated cyber-incident drill, test your ir plan, surface gaps, improvement report. cpts + iso 27001 la led. aed 8,000 – 20,000.",
https://underwings.org/services/vapt,,-,0.02972271841109588,n/a,1,301,0.218,0,0,0,0,0,-,0,40,1,0,0,-,-,0,0,0,-,
https://underwings.org/sitemap-0.xml,,-,-,n/a,0,200,0.217,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,35,-,
https://underwings.org/sitemap-index.xml,,-,-,n/a,0,200,0.217,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
https://underwings.org/software,Cybersecurity Software Sales | Underwings,60,0.029019436575263166,n/a,1,200,0.226,0,1,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,124,11,"cybersecurity software sales with full implementation, training, and support. sophos, fortinet, manageengine, qualys, and more — deployed and managed for you.",
https://underwings.org/updates,Cybersecurity News & Threat Intelligence | Underwings,60,0.029019436575263166,n/a,1,200,0.224,0,0,1,1,0,Self-canonical,0,39,19,3,0,3,1,16,125,11,"stay informed with the latest cybersecurity advisories, vulnerability disclosures, and threat intelligence from cisa, the hacker news, and bleepingcomputer.",
https://www.underwings.org/,,-,0.0,n/a,0,301,0.21,0,0,0,0,0,-,0,0,1,0,0,-,-,0,0,0,-,
